Block,BoosterVersion,Date,FlightNumber,Flights,GridFins,LandingPad,Latitude,LaunchSite,Legs,Longitude,Orbit,Outcome,PayloadMass,Reused,ReusedCount,Serial
1.0,Falcon 9,2010-06-04,1,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,LEO,None None,6123.547647058824,False,0,B0003
1.0,Falcon 9,2012-05-22,2,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,LEO,None None,525.0,False,0,B0005
1.0,Falcon 9,2013-03-01,3,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,ISS,None None,677.0,False,0,B0007
1.0,Falcon 9,2013-09-29,4,1,False,,34.632093,VAFB SLC 4E,False,-120.610829,PO,False Ocean,500.0,False,0,B1003
1.0,Falcon 9,2013-12-03,5,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,3170.0,False,0,B1004
1.0,Falcon 9,2014-01-06,6,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,3325.0,False,0,B1005
1.0,Falcon 9,2014-04-18,7,1,False,,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True Ocean,2296.0,False,0,B1006
1.0,Falcon 9,2014-07-14,8,1,False,,28.5618571,CCSFS SLC 40,True,-80.577366,LEO,True Ocean,1316.0,False,0,B1007
1.0,Falcon 9,2014-08-05,9,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,4535.0,False,0,B1008
1.0,Falcon 9,2014-09-07,10,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,4428.0,False,0,B1011
1.0,Falcon 9,2014-09-21,11,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,ISS,False Ocean,2216.0,False,0,B1010
1.0,Falcon 9,2015-01-10,12,1,True,5e9e3032383ecb761634e7cb,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,False ASDS,2395.0,False,0,B1012
1.0,Falcon 9,2015-02-11,13,1,True,,28.5618571,CCSFS SLC 40,True,-80.577366,ES-L1,True Ocean,570.0,False,0,B1013
1.0,Falcon 9,2015-04-14,14,1,True,5e9e3032383ecb761634e7cb,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,False ASDS,1898.0,False,0,B1015
1.0,Falcon 9,2015-04-27,15,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,4707.0,False,0,B1016
1.0,Falcon 9,2015-06-28,16,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,None ASDS,2477.0,False,0,B1018
1.0,Falcon 9,2015-12-22,17,1,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,LEO,True RTLS,2034.0,False,0,B1019
1.0,Falcon 9,2016-01-17,18,1,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,PO,False ASDS,553.0,False,0,B1017
1.0,Falcon 9,2016-03-04,19,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,False ASDS,5271.0,False,0,B1020
2.0,Falcon 9,2016-04-08,20,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True ASDS,3136.0,False,1,B1021
2.0,Falcon 9,2016-05-06,21,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,4696.0,False,0,B1022
2.0,Falcon 9,2016-05-27,22,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,3100.0,False,1,B1023
2.0,Falcon 9,2016-07-18,23,1,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True RTLS,2257.0,False,1,B1025
2.0,Falcon 9,2016-08-14,24,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,4600.0,False,0,B1026
3.0,Falcon 9,2016-09-01,25,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,None ASDS,5500.0,False,0,B1028
3.0,Falcon 9,2017-01-14,26,1,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,PO,True ASDS,9600.0,False,1,B1029
3.0,Falcon 9,2017-02-19,27,1,True,5e9e3032383ecb267a34e7c7,28.6080585,KSC LC 39A,True,-80.6039558,ISS,True RTLS,2490.0,False,1,B1031
3.0,Falcon 9,2017-03-16,28,1,False,,28.6080585,KSC LC 39A,False,-80.6039558,GTO,None None,5600.0,False,0,B1030
2.0,Falcon 9,2017-03-30,29,2,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,GTO,True ASDS,5300.0,True,1,B1021
3.0,Falcon 9,2017-05-01,30,1,True,5e9e3032383ecb267a34e7c7,28.6080585,KSC LC 39A,True,-80.6039558,LEO,True RTLS,6123.547647058824,False,1,B1032
3.0,Falcon 9,2017-05-15,31,1,False,,28.6080585,KSC LC 39A,False,-80.6039558,GTO,None None,6070.0,False,0,B1034
3.0,Falcon 9,2017-06-03,32,1,True,5e9e3032383ecb267a34e7c7,28.6080585,KSC LC 39A,True,-80.6039558,ISS,True RTLS,2708.0,False,1,B1035
3.0,Falcon 9,2017-06-23,33,2,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,GTO,True ASDS,3669.0,True,1,B1029
3.0,Falcon 9,2017-06-25,34,1,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,PO,True ASDS,9600.0,False,1,B1036
3.0,Falcon 9,2017-07-05,35,1,False,,28.6080585,KSC LC 39A,False,-80.6039558,GTO,None None,6761.0,False,0,B1037
4.0,Falcon 9,2017-08-14,36,1,True,5e9e3032383ecb267a34e7c7,28.6080585,KSC LC 39A,True,-80.6039558,ISS,True RTLS,2910.0,False,1,B1039
3.0,Falcon 9,2017-08-24,37,1,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,SSO,True ASDS,475.0,False,1,B1038
4.0,Falcon 9,2017-09-07,38,1,True,5e9e3032383ecb267a34e7c7,28.6080585,KSC LC 39A,True,-80.6039558,LEO,True RTLS,4990.0,False,1,B1040
4.0,Falcon 9,2017-10-09,39,1,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,PO,True ASDS,9600.0,False,1,B1041
3.0,Falcon 9,2017-10-11,40,2,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,GTO,True ASDS,5200.0,True,1,B1031
4.0,Falcon 9,2017-10-30,41,1,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,GTO,True ASDS,3700.0,False,0,B1042
3.0,Falcon 9,2017-12-15,42,2,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,True RTLS,2205.0,True,1,B1035
3.0,Falcon 9,2017-12-23,43,2,True,,34.632093,VAFB SLC 4E,False,-120.610829,PO,True Ocean,9600.0,True,1,B1036
4.0,Falcon 9,2018-01-08,44,1,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,LEO,True RTLS,6123.547647058824,False,1,B1043
3.0,Falcon 9,2018-01-31,45,2,True,,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True Ocean,4230.0,True,1,B1032
4.0,Falcon 9,2018-03-06,46,1,True,,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,None None,6092.0,False,0,B1044
4.0,Falcon 9,2018-03-30,47,2,True,,34.632093,VAFB SLC 4E,True,-120.610829,PO,None None,9600.0,True,1,B1041
4.0,Falcon 9,2018-04-02,48,2,True,,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,None None,2760.0,True,1,B1039
4.0,Falcon 9,2018-04-18,49,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,HEO,True ASDS,350.0,False,1,B1045
5.0,Falcon 9,2018-05-11,50,1,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,GTO,True ASDS,3750.0,False,3,B1046
4.0,Falcon 9,2018-06-04,51,2,False,,28.5618571,CCSFS SLC 40,False,-80.577366,GTO,None None,5383.85,True,1,B1040
4.0,Falcon 9,2018-06-29,52,2,False,,28.5618571,CCSFS SLC 40,False,-80.577366,ISS,None None,2410.0,True,1,B1045
5.0,Falcon 9,2018-07-22,53,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,7076.0,False,2,B1047
5.0,Falcon 9,2018-07-25,54,1,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,PO,True ASDS,9600.0,False,4,B1048
5.0,Falcon 9,2018-08-07,55,2,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,5800.0,True,3,B1046
5.0,Falcon 9,2018-09-10,56,1,True,5e9e3032383ecb6bb234e7ca,28.5618571,CCSFS SLC 40,True,-80.577366,GTO,True ASDS,7060.0,False,9,B1049
5.0,Falcon 9,2018-10-08,57,2,True,5e9e3032383ecb554034e7c9,34.632093,VAFB SLC 4E,True,-120.610829,SSO,True RTLS,2800.0,True,4,B1048
5.0,Falcon 9,2018-11-15,58,2,True,5e9e3032383ecb6bb234e7ca,28.6080585,KSC LC 39A,True,-80.6039558,GTO,True ASDS,3000.0,True,2,B1047
5.0,Falcon 9,2018-12-03,59,3,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,SSO,True ASDS,4000.0,True,3,B1046
5.0,Falcon 9,2018-12-05,60,1,True,5e9e3032383ecb267a34e7c7,28.5618571,CCSFS SLC 40,True,-80.577366,ISS,False RTLS,2573.0,False,0,B1050
5.0,Falcon 9,2018-12-23,61,1,False,,28.5618571,CCSFS SLC 40,False,-80.577366,MEO,None None,4400.0,False,0,B1054
5.0,Falcon 9,2019-01-11,62,2,True,5e9e3033383ecbb9e534e7cc,34.632093,VAFB SLC 4E,True,-120.610829,PO,True ASDS,9600.0,True,9,B1049
